emotion,song,spotify_link
happy,Brown Munde,https://open.spotify.com/search/Brown%20Munde
happy,Excuses,https://open.spotify.com/search/Excuses
happy,Softly,https://open.spotify.com/search/Softly
happy,Lover,https://open.spotify.com/search/Lover

sad,Qismat,https://open.spotify.com/search/Qismat
sad,Filhall,https://open.spotify.com/search/Filhall
sad,Mann Bharrya,https://open.spotify.com/search/Mann%20Bharrya

angry,295,https://open.spotify.com/search/295
angry,GOAT,https://open.spotify.com/search/GOAT
angry,Legend,https://open.spotify.com/search/Legend
angry,Young G.O.A.T,https://open.spotify.com/search/Young%20GOAT%20Cheema%20Y

neutral,Waalian,https://open.spotify.com/search/Waalian
neutral,Sakhiyaan,https://open.spotify.com/search/Sakhiyaan
neutral,Prada,https://open.spotify.com/search/Prada

surprise,Players,https://open.spotify.com/search/Players
surprise,Obsessed,https://open.spotify.com/search/Obsessed
surprise,Cheques,https://open.spotify.com/search/Cheques
